,sal_20_21,currentAge,height,weight,total_timeOnIce,total_assists,total_goals,total_pim,total_hits,total_penaltyMinutes,total_faceOffPct,total_shotPct,total_overTimeGoals,total_shortHandedGoals,total_shortHandedTimeOnIce,total_blocked,total_plusMinus,assist_height,name,birthStateProvince,birthCountry,alternateCaptain,captain,rookie,shootsCatches,rosterStatus
153,4250000.0,28,74.0,218,8082.45,152.0,135.0,269.0,783.0,269.0,221.9,87.54999999999998,2.0,1.0,45.85,153.0,47.0,11248.0,Right Wing,0,CHE,False,False,False,L,Y
154,168116.0,29,77.0,218,90.36,0.0,1.0,2.0,15.0,2.0,0.0,25.0,0.0,0.0,6.33,7.0,1.0,0.0,Defenseman,0,FIN,False,False,False,R,Y
155,1000000.0,29,73.0,191,6165.889999999999,92.0,55.0,116.0,705.0,116.0,181.74,76.13,0.0,2.0,770.6800000000001,278.0,12.0,6716.0,Right Wing,0,SWE,False,False,False,R,Y
156,211190.0,29,71.0,188,611.6099999999999,4.0,6.0,78.0,136.0,78.0,156.66,22.83,0.0,0.0,14.149999999999999,26.0,-18.0,284.0,Left Wing,WI,USA,False,False,False,L,Y
157,3500000.0,28,70.0,183,8004.719999999999,172.0,112.0,274.0,779.0,274.0,354.0400000000001,70.33,2.0,7.0,538.0100000000001,256.0,-26.0,12040.0,Center,PA,USA,False,False,False,R,Y
158,6000000.0,28,78.0,229,10445.899999999998,192.0,91.0,341.0,620.0,341.0,33.33,45.09,5.0,0.0,405.72,540.0,48.0,14976.0,Defenseman,ON,CAN,False,False,False,R,Y
159,4200000.0,27,75.0,210,6287.45,88.0,25.0,174.0,566.0,174.0,100.0,18.7,1.0,1.0,509.65999999999997,414.0,-29.0,6600.0,Defenseman,MN,USA,False,False,False,L,Y
160,4250000.0,26,71.0,191,7147.04,198.0,91.0,72.0,142.0,72.0,307.47,57.7,2.0,2.0,256.06,153.0,54.0,14058.0,Left Wing,0,FIN,False,False,False,L,Y
161,2150000.0,28,72.0,196,5359.21,60.0,43.0,163.0,515.0,163.0,330.87,38.480000000000004,0.0,3.0,725.19,221.0,-45.0,4320.0,Left Wing,MB,CAN,True,False,False,L,Y
162,2300000.0,27,72.0,187,4148.14,50.0,43.0,75.0,473.0,75.0,152.02,47.150000000000006,0.0,4.0,494.28999999999996,111.0,-31.0,3600.0,Left Wing,ON,CAN,False,False,False,L,Y
163,3900000.0,27,75.0,207,8576.2,122.0,29.0,58.0,236.0,58.0,0.0,22.200000000000003,2.0,2.0,1008.0699999999999,674.0,55.0,9150.0,Defenseman,CO,USA,True,False,False,L,Y
164,1194832.0,27,72.0,204,4609.08,38.0,47.0,345.0,966.0,345.0,349.1,62.81999999999999,0.0,6.0,605.06,281.0,-2.0,2736.0,Center,QC,CAN,False,False,False,L,Y
165,24136.0,28,71.0,185,2270.3999999999996,20.0,4.0,33.0,100.0,33.0,0.0,5.699999999999999,0.0,0.0,86.85,183.0,2.0,1420.0,Defenseman,NJ,USA,False,False,False,L,Y
166,2150000.0,25,74.0,198,1917.67,23.0,25.0,54.0,195.0,54.0,94.97,52.86,0.0,3.0,177.5,37.0,-5.0,1702.0,Left Wing,ON,CAN,False,False,False,L,Y
167,10570000.0,23,72.0,176,5746.389999999999,142.0,121.0,102.0,236.0,102.0,188.49,56.46,4.0,9.0,233.7,85.0,38.0,10224.0,Center,0,FIN,False,False,False,L,Y
168,482720.0,25,76.0,206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Center,ON,CAN,False,False,True,L,Y
169,832500.0,21,74.0,195,2339.13,54.0,44.0,116.0,239.0,116.0,14.28,23.68,2.0,0.0,2.13,53.0,9.0,3996.0,Right Wing,0,RUS,False,False,False,L,Y
170,6000000.0,25,76.0,215,10311.31,141.0,71.0,275.0,501.0,275.0,0.0,38.83,4.0,1.0,655.0100000000001,494.0,29.0,10716.0,Defenseman,ON,CAN,True,False,False,R,I
171,5300000.0,34,71.0,189,8016.609999999998,163.0,154.0,250.0,945.0,250.0,250.14999999999998,69.19,1.0,0.0,10.31,322.0,52.0,11573.0,Right Wing,0,SWE,True,False,False,R,Y
172,2500000.0,31,72.0,208,8350.439999999999,91.0,24.0,581.0,1561.0,581.0,0.0,20.99,1.0,0.0,985.35,813.0,23.0,6552.0,Defenseman,0,CZE,False,False,False,R,Y
173,5300000.0,28,73.0,202,8752.7,272.0,134.0,233.0,361.0,233.0,303.98,81.94,2.0,1.0,77.05999999999999,203.0,9.0,19856.0,Left Wing,QC,CAN,True,False,False,L,Y
174,1000000.0,29,69.0,163,969.45,31.0,13.0,12.0,12.0,12.0,33.33,8.2,0.0,0.0,0.1,7.0,-15.0,2139.0,Left Wing,0,RUS,False,False,False,R,Y
175,2000000.0,27,72.0,200,2917.06,28.0,13.0,133.0,315.0,133.0,100.0,17.61,0.0,0.0,180.94,244.0,8.0,2016.0,Defenseman,ON,CAN,False,False,False,R,Y
176,900000.0,25,74.0,180,486.48,4.0,9.0,8.0,29.0,8.0,45.16,15.8,0.0,0.0,1.19,8.0,-9.0,296.0,Center,ON,CAN,False,False,False,L,Y
177,4750000.0,25,75.0,215,9528.24,252.0,155.0,84.0,212.0,84.0,352.15,92.50999999999999,4.0,6.0,616.4,294.0,32.0,18900.0,Center,0,FIN,False,True,False,L,Y
178,571558.0,25,73.0,195,5169.9400000000005,65.0,63.0,300.0,599.0,300.0,270.5,52.00999999999999,0.0,0.0,167.54,152.0,-53.0,4745.0,Center,ON,CAN,False,False,False,L,Y
179,571558.0,25,73.0,195,5169.9400000000005,65.0,63.0,300.0,599.0,300.0,270.5,52.00999999999999,0.0,0.0,167.54,152.0,-53.0,4745.0,Center,ON,CAN,False,False,False,L,Y
180,929320.0,27,72.0,194,4999.54,67.0,24.0,140.0,276.0,140.0,0.0,19.849999999999998,0.0,1.0,302.13,281.0,20.0,4824.0,Defenseman,ON,CAN,False,False,False,R,Y
181,725000.0,25,74.0,191,437.16,6.0,0.0,6.0,45.0,6.0,42.77,0.0,0.0,0.0,69.03,21.0,-7.0,444.0,Center,0,FIN,False,False,False,L,Y
182,2500000.0,27,71.0,197,3723.94,47.0,65.0,130.0,404.0,130.0,150.67000000000002,47.86,1.0,2.0,90.11,171.0,-21.0,3337.0,Center,MA,USA,False,False,False,L,Y
