,birthDate,currentAge,height,weight,sal_14_15,sal_15_16,sal_16_17,sal_17_18,sal_18_19,sal_19_20,sal_20_21,total_timeOnIce,total_assists,total_goals,total_pim,total_shots,total_games,total_hits,total_powerPlayGoals,total_powerPlayPoints,total_powerPlayTimeOnIce,total_evenTimeOnIce,total_penaltyMinutes,total_faceOffPct,total_shotPct,total_gameWinningGoals,total_overTimeGoals,total_shortHandedGoals,total_shortHandedPoints,total_shortHandedTimeOnIce,total_blocked,total_plusMinus,total_points,total_shifts,total_timeOnIcePerGame,total_evenTimeOnIcePerGame,total_shortHandedTimeOnIcePerGame,total_powerPlayTimeOnIcePerGame
41,1991,29,71.0,170,0.0,0.0,0.0,0.0,0.0,14000000.0,13000000.0,7697.91,267,148,122,1026,391,123,37,104,1201.47,6485.55,122,95.0,72.52999999999999,29,7,0,0,9.29,82,99,415,8824,97.53,82.17,0.05,14.05
42,1993,28,74.0,190,0.0,0.0,0.0,0.0,0.0,0.0,700000.0,1143.47,9,10,39,103,95,147,0,0,2.67,958.26,39,166.74,22.18,1,0,3,4,181.34,55,1,19,1609,45.36,40.46,3.82,0.24000000000000002
43,1998,23,71.0,181,0.0,0.0,0.0,0.0,0.0,925000.0,925000.0,1323.18,34,8,32,125,70,35,1,13,138.46,1175.28,32,0.0,6.4,4,0,0,0,9.04,92,22,42,1636,18.54,16.47,0.07,1.58
44,2000,21,77.0,210,0.0,0.0,0.0,0.0,0.0,0.0,810200.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
45,2001,20,75.0,199,0.0,0.0,0.0,0.0,0.0,925000.0,688191.0,942.24,13,10,14,109,66,20,2,13,147.01,794.09,14,33.33,9.2,3,1,0,0,1.14,11,-26,23,1179,14.16,12.01,0.01,2.13
46,2001,19,74.0,193,0.0,0.0,0.0,0.0,0.0,0.0,925000.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
47,1988,33,71.0,185,10000000.0,9000000.0,9000000.0,9000000.0,9000000.0,8000000.0,7200000.0,11249.55,358,166,245,1561,556,454,50,211,1969.5099999999998,8732.4,245,398.40999999999997,75.62,30,9,3,6,545.64,196,25,524,14394,140.04999999999998,108.66,4.8999999999999995,23.219999999999995
48,1987,34,74.0,205,0.0,0.0,0.0,0.0,0.0,0.0,1800000.0,10844.72,121,23,213,714,534,742,1,6,202.1,9462.33,213,0.0,22.639999999999997,1,0,0,2,1177.4899999999998,933,30,144,13791,140.5,121.71,13.989999999999998,1.9200000000000002
49,1989,31,74.0,214,0.0,0.0,10000000.0,10000000.0,9250000.0,9250000.0,6250000.0,10088.08,338,128,300,1492,548,212,38,172,1837.4600000000003,8229.85,300,323.85,60.199999999999996,18,8,0,0,17.97,186,-9,466,12830,127.58999999999999,103.78,0.10999999999999999,22.019999999999996
50,1991,30,70.0,180,0.0,0.0,0.0,0.0,0.0,7700000.0,5300000.0,9884.85,170,65,160,906,463,369,14,49,962.61,8122.629999999999,160,0.0,50.400000000000006,14,2,3,8,797.2099999999999,742,110,235,12108,149.23000000000002,122.46000000000001,11.11,14.009999999999998
